month,cool_days,hot_days,demand,imports,exports,rig_count,supply,storage,wti_price,heating_oil,usd_rate,gas_price
2016-08,362.0,6.0,2208375.0,261983.0,214226.0,82.0,2389813.0,7810783.0,44.72,1.325,0.89262,2.82
2016-09,219.0,39.0,1947752.0,238491.0,201986.0,91.0,2297402.0,8073906.0,45.18,1.351,0.892636,2.99
2016-10,86.0,198.0,1925203.0,231449.0,176466.0,105.0,2364679.0,8384087.0,49.78,1.488,0.906425,2.98
2016-11,26.0,418.0,2159445.0,231044.0,227919.0,117.0,2307494.0,8349053.0,45.66,1.39,0.92746,2.55
2016-12,17.0,783.0,2866273.0,280791.0,250836.0,126.0,2357556.0,7676680.0,51.97,1.553,0.949012,3.59
2017-01,17.0,766.0,2913823.0,291656.0,269960.0,140.0,2339431.0,7000061.0,52.5,1.551,0.940876,3.3
2017-02,22.0,547.0,2340217.0,254597.0,253227.0,150.0,2142588.0,6714640.0,53.47,1.562,0.939114,2.85
2017-03,32.0,543.0,2523331.0,280567.0,273345.0,154.0,2425799.0,6440293.0,49.33,1.492,0.9351,2.88
2017-04,56.0,248.0,1932042.0,238279.0,242424.0,166.0,2350432.0,6670165.0,51.06,1.523,0.93391,3.1
2017-05,106.0,154.0,1892010.0,244353.0,248867.0,178.0,2428739.0,7011244.0,48.48,1.454,0.904193,3.15
2017-06,241.0,25.0,1910441.0,239805.0,253322.0,184.0,2373176.0,7260702.0,45.18,1.332,0.890534,2.98
2017-07,363.0,5.0,2141595.0,250508.0,248801.0,189.0,2477573.0,7409892.0,46.63,1.423,0.867527,2.98
2017-08,292.0,15.0,2093773.0,247888.0,247302.0,183.0,2476180.0,7605198.0,48.04,1.519,0.846339,2.9
2017-09,184.0,45.0,1920466.0,229444.0,248916.0,187.0,2438213.0,7922712.0,49.82,1.708,0.839493,2.98
2017-10,78.0,193.0,2031510.0,241338.0,279775.0,180.0,2564255.0,8170238.0,51.58,1.707,0.851139,2.88
2017-11,27.0,490.0,2357258.0,240314.0,287727.0,173.0,2558771.0,8062349.0,56.64,1.823,0.851487,3.01
2017-12,10.0,798.0,3086015.0,274478.0,300138.0,182.0,2662670.0,7392391.0,57.88,1.863,0.84425,2.82
2018-01,8.0,896.0,3340935.0,299891.0,300234.0,187.0,2618315.0,6497521.0,63.7,2.017,0.819901,3.87
2018-02,23.0,625.0,2710719.0,237417.0,275652.0,180.0,2414348.0,6029758.0,62.23,1.853,0.810022,2.67
2018-03,21.0,609.0,2796708.0,270762.0,291468.0,188.0,2704217.0,5743374.0,62.73,1.874,0.811046,2.69
2018-04,33.0,410.0,2350481.0,242264.0,278941.0,193.0,2612541.0,5777258.0,66.25,2.037,0.814554,2.8
2018-05,174.0,85.0,2055019.0,227168.0,272116.0,198.0,2730667.0,6199145.0,69.98,2.187,0.845653,2.8
2018-06,270.0,26.0,2063144.0,228469.0,261995.0,193.0,2655954.0,6549065.0,67.87,2.112,0.856183,2.97
2018-07,376.0,4.0,2350719.0,247012.0,305997.0,187.0,2799146.0,6735506.0,70.98,2.108,0.855282,2.83
2018-08,351.0,7.0,2313836.0,237025.0,311449.0,184.0,2855600.0,6971846.0,68.06,2.125,0.866686,2.96
2018-09,231.0,38.0,2156063.0,214074.0,301742.0,187.0,2808817.0,7306139.0,70.23,2.225,0.857968,3.0
2018-10,70.0,254.0,2285854.0,215128.0,306653.0,192.0,2939250.0,7592871.0,70.75,2.313,0.870075,3.28
2018-11,18.0,594.0,2715942.0,212486.0,337789.0,193.0,2894098.0,7386391.0,56.96,2.033,0.879906,4.09
2018-12,11.0,732.0,2999510.0,257148.0,363806.0,198.0,2975914.0,7068849.0,49.52,1.784,0.879002,4.04
